,ID,Ti,Ni,Pd,Pt,Hf,Zr,As,Af,Ms,Mf,dT,AsK,AfK,MsK,MfK,ThK,M,A,delta_T,Mean Electronegativity,dX,Weighted Total density,dd,r,dr,Weighted Total MP,dMP,Mean e,v,Mean s,Mean d,entropy,mismatch_local_radii,Mean c,Enthalpy_of_Mixing,T-,tm
1,HTSMA_0000,40,0,55,0,0,5,530,593,451.86,438.45,141.14,803,866,724.86,711.45,414.14,718.155,834.5,154.55,1.8925,3.428246636,8.726,6.320099723,195.2,0.389196209,1888.2275,86.95932235,7.3,0.202216066,0.9,6.4,0.845113257,113.12,474,-67.15848792,154.55,77.275
2,HTSMA_0001,40,0,55,0,5,0,528.12,551.9,487.32,471.47,64.58,801.12,824.9,760.32,744.47,337.58,752.395,813.01,80.43,1.891,3.453389639,9.065,6.705297641,196.5,0.413202357,1907.1275,87.31084705,7.3,0.193633952,0.9,6.4,0.845113257,129.5,412.8,-65.95222778,80.43,40.215
3,HTSMA_0003,43,0,50,0,0,7,451,469,421,400,48,724,742,694,673,321,683.5,733,69,1.8553,3.485296401,8.3914,6.103580968,194.43,0.390489374,1897.615,87.82982781,7,0.198525241,1,6,0.895628923,114.7302,529.44,-68.62798901,69,34.5
4,HTSMA_0004,40,0,50,0,0,10,348,416,322,302,94,621,689,595,575,367,585,655,114,1.849,3.559901684,8.452,6.008324172,194.4,0.392187625,1903.225,88.13616479,7,0.195530726,1,6,0.943348392,115.68,535.2,-70.26159008,114,57
5,HTSMA_0008,45,5,20,25,0,5,559,598,502,432,96,832,871,775,705,369,740,851.5,166,1.865,3.569943977,10.5615,9.511917049,194.25,0.644370165,1942.2475,90.60878394,7,0.166666667,1.35,5.65,1.327362863,284.575,565.8,-69.16490651,166,83
6,HTSMA_0009,45,10,20,20,0,5,442,374,337,256,37,715,647,610,529,310,569.5,681,118,1.8465,3.443729809,9.934,8.572265044,191.95,0.73123192,1926.57,91.16525101,7,0.17721519,1.4,5.6,1.383148751,349.895,606,-65.25554472,118,59
7,HTSMA_0010,50,0,50,0,0,0,568,587,527,515,60,841,860,800,788,333,794,850.5,72,1.87,3.3,8.25,6.293253111,194.5,0.386465322,1884.525,87.11541995,7,0.205882353,1,6,0.693147181,112.5,516,-64.81,72,36
8,HTSMA_0011,50,0,50,0,0,0,568,587,527,515,60,841,860,800,788,333,794,850.5,72,1.87,3.3,8.25,6.293253111,194.5,0.386465322,1884.525,87.11541995,7,0.205882353,1,6,0.693147181,112.5,516,-64.81,72,36
9,HTSMA_0012,45,0,50,0,0,5,492,508,467,445,41,765,781,740,718,314,729,773,63,1.8595,3.434017327,8.351,6.162277043,194.45,0.389348492,1893.875,87.6256572,7,0.200573066,1,6,0.855688667,114.095,525.6,-67.53802832,63,31.5
10,HTSMA_0013,40,0,50,0,0,10,256,308,221,204,87,529,581,494,477,360,485.5,555,104,1.849,3.559901684,8.452,6.008324172,194.4,0.392187625,1903.225,88.13616479,7,0.195530726,1,6,0.943348392,115.68,535.2,-70.26159008,104,52
11,HTSMA_0014,45,0,45,5,0,5,497,511,464,455,47,770,784,737,728,320,732.5,777,56,1.8635,3.477826189,8.824,6.859949422,194.8,0.411990396,1904.55,88.02765812,7,0.191780822,1.05,5.95,1.018230154,129.32,525.6,-68.34875104,56,28
12,HTSMA_0015,45,0,35,15,0,5,539,557,485,471,72,812,830,758,744,345,751,821,86,1.8715,3.562481579,9.77,8.28369621,195.5,0.452596244,1925.9,88.82587915,7,0.176322418,1.15,5.85,1.161120818,158.3,525.6,-70.08558416,86,43
13,HTSMA_0016,45,0,25,25,0,5,628,648,571,539,77,901,921,844,812,350,828,911,109,1.8795,3.643415293,10.716,9.720445533,196.2,0.488197932,1947.25,89.61635861,7,0.163170163,1.25,5.75,1.202262258,185.32,525.6,-71.97626752,109,54.5
14,HTSMA_0017,45,0,15,35,0,5,725,804,713,590,91,998,1077,986,863,364,924.5,1037.5,214,1.8875,3.720870194,11.662,11.15369594,196.9,0.519779001,1968.6,90.39905541,7,0.151843818,1.35,5.65,1.161120818,210.38,525.6,-74.02080112,214,107
15,HTSMA_0018,45,0,5,45,0,5,896,935,823,774,112,1169,1208,1096,1047,385,1071.5,1188.5,161,1.8955,3.795059288,12.608,12.57445626,197.6,0.547991672,1989.95,91.17392789,7,0.14198783,1.45,5.55,1.018230154,233.48,525.6,-76.21918496,161,80.5
16,HTSMA_0019,45,0,0,50,0,5,961,994,890,865,104,1234,1267,1163,1138,377,1150.5,1250.5,129,1.8995,3.830988776,13.081,13.27839121,197.95,0.560982844,2000.625,91.55841683,7,0.137524558,1.5,5.5,0.855688667,244.295,525.6,-77.37607072,129,64.5
17,HTSMA_0020,50,0,0,50,0,0,1047,1066,1025,1012,41,1320,1339,1298,1285,314,1291.5,1329.5,54,1.91,3.7,12.98,13.61484001,198,0.558134872,1991.275,91.05345138,7,0.14,1.5,5.5,0.693147181,242,516,-74.76,54,27
18,HTSMA_0021,50,0,50,0,0,0,577,589,540,526,49,850,862,813,799,322,806,856,63,1.87,3.3,8.25,6.293253111,194.5,0.386465322,1884.525,87.11541995,7,0.205882353,1,6,0.693147181,112.5,516,-64.81,63,31.5
